COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W31,H1500W33,H1500W36,H1500W38,H1500W39,H3000W30,H3000W31,H3000W33,H3000W35,H3000W36,H3000W37,H3000W38,H3000W39,H3000W40
62966,JACKSON,GRAVID TRAP,46,Female,VECWNV,NEGATIVE,0,-89.2079,36.46693,Culex,32,2008,JACKSON_32_2008,08-041-004,8/8/08,PID193528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.333482,37.433463,Culex,29,2008,SALINE_29_2008,SAL-22-08,7/17/08,PID192422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,17,Female,VECWNV,NEGATIVE,0,-88.34383,37.43367,Culex,26,2008,SALINE_26_2008,SAL14-08,6/27/08,PID192366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,37,Female,VECWNV,NEGATIVE,0,-88.34383,37.43367,Culex,32,2008,SALINE_32_2008,SAL-28-08,8/7/08,PID192460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,80,Female,VECWNV,NEGATIVE,0,-88.32379,37.43576,Culex,31,2008,SALINE_31_2008,SAL-27-08,7/30/08,PID192455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-88.32379,37.43576,Culex,34,2008,SALINE_34_2008,SAL-35-08,8/22/08,PID192498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.32224,37.43791,Culex,28,2008,SALINE_28_2008,SAL-20-08,7/10/08,PID192406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.32561,37.44209,Culex,29,2008,SALINE_29_2008,SAL-24-08,7/17/08,PID192440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,56,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,29,2008,JACKSON_29_2008,08-018-001,7/14/08,PID193494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,31,2008,JACKSON_31_2008,08-018-002,8/1/08,PID193495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,90,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,31,2008,JACKSON_31_2008,08-018-003,8/1/08,PID193496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,33,2008,JACKSON_33_2008,08-018-004,8/15/08,PID193497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,36,2008,JACKSON_36_2008,08-018-005,9/2/08,PID193498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-89.17154,37.4434,Culex,36,2008,JACKSON_36_2008,08-018-006,9/2/08,PID193499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,16,Female,VECWNV,NEGATIVE,0,-88.33941,37.44368,Culex,28,2008,SALINE_28_2008,SAL-19-08,7/10/08,PID192397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,75,Female,VECWNV,NEGATIVE,0,-88.32003,37.44394,Culex,31,2008,SALINE_31_2008,SAL-25-08,7/30/08,PID192446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,90,Female,VECWNV,NEGATIVE,0,-88.32003,37.44394,Culex,37,2008,SALINE_37_2008,SAL40-08,9/11/08,PID192517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-88.31485,37.44438,Culex,37,2008,SALINE_37_2008,SAL39-08,9/11/08,PID192513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-89.16878,37.44535,Culex,24,2008,JACKSON_24_2008,08-030-001,6/9/08,PID193516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,16,Female,VECWNV,NEGATIVE,0,-89.16878,37.44535,Culex,29,2008,JACKSON_29_2008,08-030-002,7/14/08,PID193517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.16878,37.44535,Culex,36,2008,JACKSON_36_2008,08-030-003,9/2/08,PID193518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,54,Female,VECWNV,NEGATIVE,0,-89.16878,37.44535,Culex,36,2008,JACKSON_36_2008,08-030-004,9/2/08,PID193519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.37996,37.4464,Culex,26,2008,SALINE_26_2008,SAL13-08,6/27/08,PID192359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.19368,37.44779,Culex,37,2008,JACKSON_37_2008,08-046-001,9/9/08,PID193535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,58,Female,VECWNV,NEGATIVE,0,-89.14756,37.44798,Culex,23,2008,JACKSON_23_2008,08-026-001,6/2/08,PID191404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,89,Female,VECWNV,NEGATIVE,0,-89.14756,37.44798,Culex,37,2008,JACKSON_37_2008,08-026-002,9/9/08,PID191405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,60,Female,VECWNV,NEGATIVE,0,-88.24691,37.44949,Culex,38,2008,SALINE_38_2008,SAL-43-08,9/19/08,PID192526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,70,Female,VECWNV,NEGATIVE,0,-89.14778,37.45604,Culex,23,2008,JACKSON_23_2008,08-027-001,6/2/08,PID191406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,54,Female,VECWNV,NEGATIVE,0,-89.14778,37.45604,Culex,25,2008,JACKSON_25_2008,08-027-002,6/16/08,PID191407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.14755,37.45822,Culex,23,2008,JACKSON_23_2008,08-044-003,6/2/08,PID193529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.14755,37.45822,Culex,23,2008,JACKSON_23_2008,08-044-004,6/2/08,PID193530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-89.14755,37.45822,Culex,25,2008,JACKSON_25_2008,08-044-005,6/16/08,PID193531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,46,Female,VECWNV,NEGATIVE,0,-89.14755,37.45822,Culex,30,2008,JACKSON_30_2008,08-044-006,7/20/08,PID193532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,38,Female,VECWNV,NEGATIVE,0,-89.14755,37.45822,Culex,37,2008,JACKSON_37_2008,08-044-007,9/9/08,PID193533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62965,SALINE,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.30614,37.45841,Culex,22,2008,SALINE_22_2008,SAL05-08,5/30/08,PID193161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62965,SALINE,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-88.30614,37.45841,Culex,36,2008,SALINE_36_2008,SAL-37-08,9/3/08,PID193174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.21264,37.464,Culex,22,2008,JACKSON_22_2008,08-022-001,5/29/08,PID193500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,48,Female,VECWNV,NEGATIVE,0,-89.21264,37.464,Culex,28,2008,JACKSON_28_2008,08-022-002,7/7/08,PID193501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,44,Female,VECWNV,NEGATIVE,0,-89.21264,37.464,Culex,32,2008,JACKSON_32_2008,08-022-003,8/4/08,PID193502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-89.21264,37.464,Culex,38,2008,JACKSON_38_2008,08-022-004,9/16/08,PID193503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,22,Female,VECWNV,NEGATIVE,0,-89.20111,37.47551,Culex,32,2008,JACKSON_32_2008,08-035-001,8/4/08,PID193523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-89.20111,37.47551,Culex,38,2008,JACKSON_38_2008,08-035-002,9/16/08,PID193524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,72,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,27,2008,JACKSON_27_2008,06-029-007,6/30/08,PID193348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,27,2008,JACKSON_27_2008,06-029-008,6/30/08,PID193349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,88,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,22,2008,JACKSON_22_2008,08-029-001,5/29/08,PID193504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,POSITIVE,1,-89.20221,37.48036,Culex,26,2008,JACKSON_26_2008,08-029-002,6/23/08,PID193505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,26,2008,JACKSON_26_2008,08-029-003,6/23/08,PID193506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,26,2008,JACKSON_26_2008,08-029-004,6/23/08,PID193507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,27,2008,JACKSON_27_2008,08-029-005,6/30/08,PID193508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,96,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,28,2008,JACKSON_28_2008,08-029-007,7/7/08,PID193509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,47,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,30,2008,JACKSON_30_2008,08-029-008,7/25/08,PID193510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,45,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,32,2008,JACKSON_32_2008,08-029-009,8/4/08,PID193511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,54,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,32,2008,JACKSON_32_2008,08-029-010,8/8/08,PID193512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,35,2008,JACKSON_35_2008,08-029-011,8/27/08,PID193513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,35,2008,JACKSON_35_2008,08-029-012,8/27/08,PID193514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,31,Female,VECWNV,NEGATIVE,0,-89.20221,37.48036,Culex,38,2008,JACKSON_38_2008,08-029-013,9/16/08,PID193515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62930,SALINE,GRAVID TRAP,45,Female,VECWNV,NEGATIVE,0,-88.27112,37.48071,Culex,31,2008,SALINE_31_2008,SAL-26-08,7/30/08,PID192120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.19624,37.48471,Culex,26,2008,JACKSON_26_2008,08-032-002,6/23/08,PID193520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-89.19624,37.48471,Culex,30,2008,JACKSON_30_2008,08-032-003,7/25/08,PID193521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-89.19624,37.48471,Culex,35,2008,JACKSON_35_2008,08-032-004,8/27/08,PID193522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62930,SALINE,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.25428,37.48521,Culex,27,2008,SALINE_27_2008,SAL16-08,7/3/08,PID192091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62924,JACKSON,GRAVID TRAP,23,Female,VECWNV,NEGATIVE,0,-89.14244,37.48916,Culex,25,2008,JACKSON_25_2008,08-020-001,6/16/08,PID191985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62924,JACKSON,GRAVID TRAP,89,Female,VECWNV,NEGATIVE,0,-89.14244,37.48916,Culex,30,2008,JACKSON_30_2008,08-020-002,7/21/08,PID191986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62924,JACKSON,GRAVID TRAP,62,Female,VECWNV,NEGATIVE,0,-89.14244,37.48916,Culex,30,2008,JACKSON_30_2008,08-021-001,7/21/08,PID191987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.2373,37.5306,Culex,28,2008,JACKSON_28_2008,08-025-001,7/7/08,PID191762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.2373,37.5306,Culex,28,2008,JACKSON_28_2008,08-025-002,7/7/08,PID191763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.2373,37.5306,Culex,28,2008,JACKSON_28_2008,08-025-003,7/7/08,PID191764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,140,Female,VECWNV,NEGATIVE,0,-89.2373,37.5306,Culex,32,2008,JACKSON_32_2008,08-025-004,8/8/08,PID191765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,48,Female,VECWNV,NEGATIVE,0,-89.29511,37.53161,Culex,28,2008,JACKSON_28_2008,08-023-001,7/7/08,PID191757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.29511,37.53161,Culex,32,2008,JACKSON_32_2008,08-023-002,8/8/08,PID191758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-89.29693,37.53782,Culex,28,2008,JACKSON_28_2008,08-024-001,7/7/08,PID191759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,42,Female,VECWNV,NEGATIVE,0,-89.29693,37.53782,Culex,28,2008,JACKSON_28_2008,08-024-002,7/7/08,PID191760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,JACKSON,GRAVID TRAP,55,Female,VECWNV,NEGATIVE,0,-89.29693,37.53782,Culex,32,2008,JACKSON_32_2008,08-024-003,8/8/08,PID191761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62994,JACKSON,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-89.20445,37.54019,Culex,26,2008,JACKSON_26_2008,08-033-001,6/23/08,PID194465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62994,JACKSON,GRAVID TRAP,36,Female,VECWNV,NEGATIVE,0,-89.20524,37.5411,Culex,26,2008,JACKSON_26_2008,08-034-001,6/23/08,PID194466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62932,JACKSON,GRAVID TRAP,70,Female,VECWNV,NEGATIVE,0,-89.13995,37.544,Culex,30,2008,JACKSON_30_2008,08-038-001,7/21/08,PID192177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62932,JACKSON,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-89.14328,37.54535,Culex,30,2008,JACKSON_30_2008,08-040-001,7/21/08,PID192178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.538417,37.566733,Culex,28,2008,SALINE_28_2008,SAL-21-08,7/10/08,PID192414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62987,SALINE,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.700092,37.600219,Culex,24,2008,SALINE_24_2008,SAL-12-08,6/13/08,PID194407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62987,SALINE,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.678897,37.606465,Culex,33,2008,SALINE_33_2008,SAL30-08,8/14/08,PID194417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,39,Female,VECWNV,NEGATIVE,0,-88.479667,37.638339,Culex,38,2008,SALINE_38_2008,SAL-42-08,9/19/08,PID192521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,94,Female,VECWNV,NEGATIVE,0,-89.243317,37.6581,Culex,27,2008,JACKSON_27_2008,08-006-001,6/30/08,PID192819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.550833,37.678389,Culex,26,2008,SALINE_26_2008,SAL15-08,6/27/08,PID192370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-88.6338,37.6792,Culex,24,2008,SALINE_24_2008,SAL10-08,6/13/08,PID191904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.136233,37.694233,Culex,22,2008,GALLATIN_22_2008,GAL-01-08,5/30/08,PID194297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,24,Female,VECWNV,POSITIVE,1,-88.136233,37.694233,Culex,37,2008,GALLATIN_37_2008,GAL-20,9/11/08,PID194354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,36,Female,VECWNV,NEGATIVE,0,-88.135733,37.699233,Culex,37,2008,GALLATIN_37_2008,GAL-21-08,9/11/08,PID194362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-88.135733,37.699233,Culex,32,2008,GALLATIN_32_2008,GAL-8-08,8/4/08,PID194396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,18,Female,VECWNV,NEGATIVE,0,-88.135733,37.699233,Culex,29,2008,GALLATIN_29_2008,GAL-9-08,7/14/08,PID194402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62954,GALLATIN,GRAVID TRAP,100,Female,VECWNV,NEGATIVE,0,-88.290806,37.704972,Culex,25,2008,GALLATIN_25_2008,GAL-03-08,6/19/08,PID192707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62954,GALLATIN,GRAVID TRAP,27,Female,VECWNV,NEGATIVE,0,-88.290806,37.704972,Culex,29,2008,GALLATIN_29_2008,GAL-07-08,7/18/08,PID192709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,33,Female,VECWNV,NEGATIVE,0,-88.194883,37.717467,Culex,32,2008,GALLATIN_32_2008,GAL-12-08,8/8/08,PID194319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,61,Female,VECWNV,NEGATIVE,0,-88.194883,37.717467,Culex,33,2008,GALLATIN_33_2008,GAL-13-08,8/14/08,PID194324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,39,Female,VECWNV,NEGATIVE,0,-88.194883,37.717467,Culex,34,2008,GALLATIN_34_2008,GAL-14-08,8/21/08,PID194333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.19255,37.71925,Culex,27,2008,GALLATIN_27_2008,GAL-05-08,7/3/08,PID194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,23,Female,VECWNV,NEGATIVE,0,-88.162533,37.720483,Culex,27,2008,GALLATIN_27_2008,GAL-04-08,7/3/08,PID194300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,94,Female,VECWNV,NEGATIVE,0,-88.162533,37.720483,Culex,34,2008,GALLATIN_34_2008,GAL-17-08,8/21/08,PID194343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62954,GALLATIN,GRAVID TRAP,13,Female,VECWNV,NEGATIVE,0,-88.237967,37.724167,Culex,27,2008,GALLATIN_27_2008,GAL-06-08,7/3/08,PID192708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,82,Female,VECWNV,NEGATIVE,0,-88.516306,37.725806,Culex,34,2008,SALINE_34_2008,SAL-33-08,8/22/08,PID192491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-89.21711,37.72842,Culex,27,2008,JACKSON_27_2008,08-005-001,6/30/08,PID191395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,3,Female,PCRWNV,NEGATIVE,0,-89.2038,37.729,Culex,32,2008,JACKSON_32_2008,SI 08-131,8/7/08,PID191657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,5,Female,PCRWNV,NEGATIVE,0,-89.2038,37.729,Culex,28,2008,JACKSON_28_2008,SI 08-56,7/9/08,PID191658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-88.562267,37.729433,Culex,37,2008,SALINE_37_2008,SAL41-08,9/11/08,PID192519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.52715,37.73358,Culex,29,2008,SALINE_29_2008,SAL-23-08,7/17/08,PID192433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,42,Female,VECWNV,NEGATIVE,0,-88.52715,37.73358,Culex,34,2008,SALINE_34_2008,SAL-34-08,8/22/08,PID192494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,60,Female,VECWNV,NEGATIVE,0,-89.267883,37.739783,Culex,22,2008,JACKSON_22_2008,08-008-001,5/27/08,PID191396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
