COLLECZIP,FIPSCOUNTY,TRAPTYPE,POOLSIZE,GENDER,TESTTYPE,RESULTTYPE,POSITIVE,LOGITUDE,LATITUDE,GENUS,WEEK_NEW,COLLECYEAR,CTY_WK_YEA,COLLECSAMP,COLLECDATE,Pool_ID,H1500W11,H1500W19,H1500W10,H1500W11,H1500W11,H1500W11,H1500W14,H1500W15,H1500W16,H1500W17,H1500W19,H1000W11,H1000W17,H1000W19,H1000W10,H1000W11,H1000W11,H1000W11,H1000W14,H1000W15,H1000W16,H1000W17,H1000W18,H1000W19,H1000W40
62956,PULASKI,GRAVID TRAP,35,Female,VECWNV,NEGATIVE,0,-88.976427,37.289983,Culex,26,2006,PULASKI_26_2006,PU-6,6/30/06,PID192780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.976427,37.289983,Culex,27,2006,PULASKI_27_2006,PU-8,7/6/06,PID192781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,32,Female,VECWNV,NEGATIVE,0,-88.976427,37.289983,Culex,27,2006,PULASKI_27_2006,PU-9,7/6/06,PID192782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,27,2006,PULASKI_27_2006,PU-10,7/5/06,PID192751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,26,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,27,2006,PULASKI_27_2006,PU-11,7/7/06,PID192753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,26,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,27,2006,PULASKI_27_2006,PU-12,7/7/06,PID192755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,29,2006,PULASKI_29_2006,PU-14,7/21/06,PID192758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,5,Male,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,29,2006,PULASKI_29_2006,PU-15,7/21/06,PID192760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,30,2006,PULASKI_30_2006,PU-17,7/28/06,PID192765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,8,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,31,2006,PULASKI_31_2006,PU-21,8/2/06,PID192771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62956,PULASKI,GRAVID TRAP,43,Female,VECWNV,NEGATIVE,0,-89.016699,37.30019,Culex,24,2006,PULASKI_24_2006,PU-3,6/16/06,PID192777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62938,POPE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.491033,37.368082,Culex,27,2006,POPE_27_2006,PO-01,7/7/06,PID192283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62906,UNION,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-89.243775,37.464725,Culex,27,2006,UNION_27_2006,UN-3,7/8/06,PID191718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62928,POPE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.583714,37.496374,Culex,32,2006,POPE_32_2006,PO-03,8/9/06,PID192027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62928,POPE,GRAVID TRAP,31,Female,VECWNV,NEGATIVE,0,-88.583714,37.496374,Culex,32,2006,POPE_32_2006,PO-04,8/9/06,PID192028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62998,UNION,GRAVID TRAP,47,Female,VECWNV,NEGATIVE,0,-89.439798,37.505194,Culex,25,2006,UNION_25_2006,UN-1,6/24/06,PID194498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62920,UNION,GRAVID TRAP,19,Female,VECWNV,POSITIVE,1,-89.257325,37.534399,Culex,34,2006,UNION_34_2006,UN-04,8/21/06,PID191976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62920,UNION,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.257325,37.534399,Culex,27,2006,UNION_27_2006,UN-2,7/8/06,PID191977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62939,JOHNSON,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.971076,37.551828,Culex,25,2006,JOHNSON_25_2006,JOH1,6/22/06,PID192285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,40,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,23,2006,JACKSON_23_2006,06-005-001,6/6/06,PID192806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,24,2006,JACKSON_24_2006,06-006-001,6/12/06,PID192807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,26,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,25,2006,JACKSON_25_2006,06-006-002,6/20/06,PID192808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,29,2006,JACKSON_29_2006,06-006-003,7/17/06,PID192809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62958,JACKSON,GRAVID TRAP,38,Female,VECWNV,NEGATIVE,0,-89.242225,37.657994,Culex,33,2006,JACKSON_33_2006,06-006-004,8/14/06,PID192810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,23,Female,VECWNV,NEGATIVE,0,-88.558803,37.673291,Culex,27,2006,SALINE_27_2006,SAL16-06,7/7/06,PID192373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62917,SALINE,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-88.570203,37.685352,Culex,32,2006,SALINE_32_2006,SAL30-06,8/11/06,PID191928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,17,Female,VECWNV,NEGATIVE,0,-88.181303,37.698713,Culex,26,2006,GALLATIN_26_2006,GAL11-06,6/29/06,PID194316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,50,Female,VECWNV,POSITIVE,1,-88.135701,37.699233,Culex,33,2006,GALLATIN_33_2006,GAL23-06,8/17/06,PID194366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.135701,37.699233,Culex,33,2006,GALLATIN_33_2006,GAL24-06,8/17/06,PID194370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,25,Female,VECWNV,NEGATIVE,0,-88.135701,37.699233,Culex,22,2006,GALLATIN_22_2006,GAL4-06,6/1/06,PID194385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,11,Female,VECWNV,NEGATIVE,0,-89.237545,37.705575,Culex,29,2006,JACKSON_29_2006,06-05-001,7/18/06,PID191380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,19,Female,VECWNV,NEGATIVE,0,-88.192601,37.719248,Culex,26,2006,GALLATIN_26_2006,GAL10-06,6/29/06,PID194313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.192601,37.719248,Culex,34,2006,GALLATIN_34_2006,GAL26-06,8/24/06,PID194374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,15,Female,VECWNV,NEGATIVE,0,-88.192601,37.719248,Culex,22,2006,GALLATIN_22_2006,GAL3-06,6/1/06,PID194377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62984,GALLATIN,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-88.162496,37.720477,Culex,22,2006,GALLATIN_22_2006,GAL5-06,6/1/06,PID194388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,23,2006,WILLIAMSON_23_2006,1 WLM,6/4/06,PID192952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,14,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,23,2006,WILLIAMSON_23_2006,WLM 1,6/4/06,PID192990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,11,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,26,2006,WILLIAMSON_26_2006,WLM16,6/28/06,PID193014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,41,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,28,2006,WILLIAMSON_28_2006,WLM25,7/9/06,PID193029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,30,2006,WILLIAMSON_30_2006,WLM41,7/23/06,PID193056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62959,WILLIAMSON,GRAVID TRAP,20,Female,VECWNV,NEGATIVE,0,-88.932593,37.721216,Culex,35,2006,WILLIAMSON_35_2006,WLM62GP,8/27/06,PID193063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.547766,37.721626,Culex,28,2006,SALINE_28_2006,SAL21-06,7/14/06,PID192413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.547766,37.721626,Culex,28,2006,SALINE_28_2006,SAL22-06,7/14/06,PID192421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.539903,37.725451,Culex,26,2006,SALINE_26_2006,SAL13-06,6/30/06,PID192358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.539903,37.725451,Culex,26,2006,SALINE_26_2006,SAL14-06,6/30/06,PID192365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,39,Female,VECWNV,POSITIVE,1,-88.539903,37.725451,Culex,30,2006,SALINE_30_2006,SAL24-06,7/24/06,PID192438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,13,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,30,2006,JACKSON_30_2006,S06-112,7/26/06,PID191627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,21,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,30,2006,JACKSON_30_2006,S06-113,7/26/06,PID191628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,2,Male,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,30,2006,JACKSON_30_2006,S06-114,7/26/06,PID191629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,1,Male,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,30,2006,JACKSON_30_2006,S06-115,7/26/06,PID191630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,9,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,32,2006,JACKSON_32_2006,S06-167,8/6/06,PID191631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,7,Female,PCRWNV,POSITIVE,1,-89.203759,37.72829,Culex,32,2006,JACKSON_32_2006,S06-168,8/6/06,PID191632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,23,Female,PCRWNV,POSITIVE,1,-89.203759,37.72829,Culex,35,2006,JACKSON_35_2006,S06-219,8/30/06,PID191633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,9,Female,PCRWNV,POSITIVE,1,-89.203759,37.72829,Culex,35,2006,JACKSON_35_2006,S06-221,8/30/06,PID191634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,23,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,35,2006,JACKSON_35_2006,S06-233,8/31/06,PID191635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,9,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,35,2006,JACKSON_35_2006,S06-235,8/31/06,PID191636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,1,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,38,2006,JACKSON_38_2006,S06-263,9/20/06,PID191637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,1,Female,PCRWNV,NEGATIVE,0,-89.203759,37.72829,Culex,38,2006,JACKSON_38_2006,S06-264,9/20/06,PID191638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.527203,37.733584,Culex,30,2006,SALINE_30_2006,SAL25-06,7/28/06,PID192445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-88.527203,37.733584,Culex,30,2006,SALINE_30_2006,SAL26-06,7/28/06,PID192450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,42,Female,VECWNV,NEGATIVE,0,-88.545204,37.735377,Culex,26,2006,SALINE_26_2006,SAL15-06,6/30/06,PID192369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,56,Female,VECWNV,NEGATIVE,0,-88.545204,37.735377,Culex,28,2006,SALINE_28_2006,SAL18-06,7/14/06,PID192387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,47,Female,VECWNV,NEGATIVE,0,-88.545204,37.735377,Culex,30,2006,SALINE_30_2006,SAL23-06,7/28/06,PID192431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,40,Female,VECWNV,POSITIVE,1,-88.545204,37.735377,Culex,33,2006,SALINE_33_2006,SAL35-06,8/18/06,PID192497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62946,SALINE,GRAVID TRAP,40,Female,VECWNV,POSITIVE,1,-88.545204,37.735377,Culex,33,2006,SALINE_33_2006,SAL36-06,8/18/06,PID192501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.266837,37.739277,Culex,22,2006,JACKSON_22_2006,06-008-001,5/29/06,PID191375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,12,Female,VECWNV,NEGATIVE,0,-89.266837,37.739277,Culex,27,2006,JACKSON_27_2006,06-008-002,7/6/06,PID191376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,50,Female,VECWNV,NEGATIVE,0,-89.266837,37.739277,Culex,31,2006,JACKSON_31_2006,06-008-003,7/31/06,PID191377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,9,Female,VECWNV,NEGATIVE,0,-89.266837,37.739277,Culex,32,2006,JACKSON_32_2006,06-008-004,8/7/06,PID191378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62901,JACKSON,GRAVID TRAP,10,Female,VECWNV,NEGATIVE,0,-89.266837,37.739277,Culex,33,2006,JACKSON_33_2006,06-008-005,8/14/06,PID191379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,6,Female,VECWNV,NEGATIVE,0,-89.281282,37.741828,Culex,24,2006,JACKSON_24_2006,06-030-001,6/12/06,PID193350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,30,Female,VECWNV,NEGATIVE,0,-89.34084,37.742335,Culex,22,2006,JACKSON_22_2006,06-004-001,5/29/06,PID193296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,24,Female,VECWNV,NEGATIVE,0,-89.34084,37.742335,Culex,23,2006,JACKSON_23_2006,06-004-002,6/6/06,PID193297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62966,JACKSON,GRAVID TRAP,29,Female,VECWNV,NEGATIVE,0,-89.34084,37.742335,Culex,28,2006,JACKSON_28_2006,06-004-003,7/14/06,PID193298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
